Lat_dec,Long_dec,Elevation,Name
60.83027,-145.13194,2464,Pt. 8084
54.57083,-164.69333,1991,Pogromni Volcano
61.16055,-144.81305,2441,Pt. 8010
58.85916,-153.53527,2149,Mt. Douglas
67.41305,-154.96638,2523,Mt. Igikpak
58.17305,-133.40166,2003,Snow Tower
59.91277,-150.43583,2015,Truuli Peak
53.88555,-166.93305,1829,Makushin Volcano
61.52166,-141.10305,4095,Mt. Natazhat
51.8825,-178.14388,1806,Tanaga Volcano
61.06694,-143.70833,2592,Hanagita Peak
62.13111,-148.60444,2697,Sovereign Mtn.
60.57722,-148.89138,1991,Isthmus Peak
54.76833,-163.73083,2471,Isanotski Peaks
55.06777,-162.83527,1769,Frosty Peak
52.08194,-176.13583,1740,Great Sitkin Volcano
52.82388,-169.94666,1730,Mt. Cleveland
62.00638,-144.01777,4317,Mt. Wrangell
60.52027,-143.09388,3266,Mt. Steller
62.79833,-151.88416,3557,Mt. Russell
57.01472,-134.98861,1643,Baranof Is. HP
60.92833,-142.52388,2596,Pt. 8517
60.19138,-139.435,3368,Mt. Foresta
52.89222,-170.05888,1610,Carlisle Is. HP
61.3075,-148.87027,2440,Bashful Peak
60.46083,-142.30333,3277,Mt. Miller
51.78833,-178.79416,1573,Mt. Gareloi
63.63777,-147.23888,3761,Mt. Deborah
61.1125,-153.46944,2541,Pt. 8336
61.495,-153.62277,2587,Pt. 8488
60.30527,-140.46027,4289,Mt. Augusta
52.38055,-174.16611,1533,Korovin Volcano
61.32972,-144.96,2108,Pt. 6915
61.28333,-141.14333,4521,Mt. Bear�
60.45666,-153.675,1905,Pt. 6200+
-83.33333,165.8,4160,Mt. Miller
-77.03333,-126.1,4285,Mt. Sidley
-64.26666,-62.41666,2520,Mt. Parry
-84.33333,166.41666,4528,Mt. Kirkpatrick
-71.78333,168.75,4165,Mt. Minto
-64.63333,-63.45,2760,Mt. Francais
-69.81666,-69.71666,2987,Mt. Stephenson
-73.43333,-126.66666,3110,Mt. Siple
-77.52916,167.15277,3794,Mt. Erebus
-78.58333,-85.41666,4892,Mt. Vinson
-86.3,158,3938,Pt. 3938
-78.51666,163.58333,2725,Mt. Morning
-72.95,169.38333,2025,Mt. Brewster
-80.21666,157.43333,3490,Mt. McClintock
-64.21666,-57.63333,1630,Mt. Haddington
-67.66666,-67.5,1632,Mt. Verne
-78.36666,165.01666,2680,Mt. Discovery
-80.36666,77.35,4091,Dome Argus
-68.83055,-90.62777,1640,Lars Christiansen Peak
-83.9,168.38333,4480,Mt. Elizabeth
-77.51666,168.53333,3230,Mt. Terror
-74.35,164.7,2730,Mt. Melbourne
-62.66861,-60.1875,1700,Mt. Friesland
-76.8,-117.7,3675,Mt. Frakes
-84.55,175.31666,4230,Mt. Kaplan
-73.06666,165.7,3655,Mt. Supernal
-73.41666,166.3,3501,Mt. Murchison
-70.58333,-70.16666,2486,Pt. 2486
-75.8,-115.81666,3595,Richmond Peak
-73.53333,169.7,2000,Hawkes Heights
-75.33333,-110.73333,2705,Mt. Murphy
-69,71,2896,Gora Georgia Pobedonosca
-82.85,161.35,4350,Mt. Markham
-63.005,-62.535,2105,Mt. Foster
-76.28888,-112.15583,3460,Mt. Takahe
-71.38333,-63.36666,3184,Mt. Jackson
-61.28333,-54.13333,2300,Mt. Irving
-67.53333,-68.61666,2315,Mt. Gaudry
-78.06666,162.68333,4025,Mt. Lister
45.7425,82.7575,3282,Kertau
48.63083,86.83916,3085,Dzhata
44.31,81.98416,3698,Kokirqin Shan
47.04916,85.56666,3840,Sauyr Zhotasy
45.04166,80.2575,4622,Gora Alagordy
49.14583,87.81916,4374,Nayramadlin Orgil
45.1925,90.90666,3315,Dunheger
45.18,141.23916,1721,Rishiri-fuji
47.18833,82.46583,2993,Khrebet Tarbagatay HP
49.8075,86.59,4506,Gora Belukha
47.68861,92.565,3796,Jargalant Hayrhan
47.60833,97.5525,4000,Otgon Tenger Uul
44.79916,95.24,3802,Ich Obo
